video_id,publish_date,file_name,search_term,search_column,term_count,relative_frequency
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Ceasefire,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Rafa,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Netanyahu,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Hospital,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Children,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Minister,Lemma,3,0.33444816053511706
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Attack,Lemma,1,0.11148272017837235
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Killed,Lemma,1,0.11148272017837235
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Hezbollah,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Civilians,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Lebanon,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Terrorist,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",terror,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Westbank,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Egypt,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Support,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Biden,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Court,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Food,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Water,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Electricity,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Health,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Negotiations,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Militia,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Family,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Hostage,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Refugee,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Protest,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Islamic,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",unra,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Unrwa,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Diplomatic,Lemma,1,0.11148272017837235
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Jewish,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Suffering,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Casualties,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Death,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Militant,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Soldiers,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Human,Lemma,2,0.2229654403567447
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Prisoners,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Escalation,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Fuel,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Supplies,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Civilian,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",idf,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Displace,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",UN,Lemma,19,2.118171683389075
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Israeli Government,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",October 7th,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",United states,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Evacuate corridor,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Terror attacks,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Release hostages,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",United Nations,Lemma,0,0.0
gFRTBob5ayg,20240913,"'this war must stop, palestinian right to self-determination must be recognised’ un chief_treetagger_output.txt",Israeli military,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Israel,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Gaza,Lemma,4,1.25
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Hamas,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,War,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Hostages,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Iran,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Palestine,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Aid,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Military,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Palestinians,Token,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Israelis,Token,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Palestinian,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Israeli,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Humanitarian,Lemma,2,0.625
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Ceasefire,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Rafa,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Netanyahu,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Hospital,Lemma,1,0.3125
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Children,Lemma,1,0.3125
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Minister,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Attack,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Killed,Lemma,1,0.3125
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Hezbollah,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Civilians,Lemma,2,0.625
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Lebanon,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Terrorist,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,terror,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Westbank,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Egypt,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Support,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Biden,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Court,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Food,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Water,Lemma,1,0.3125
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Electricity,Lemma,0,0.0
eOsp09Eqt0E,20231121,'unparalleled & unprecedented' un secretary general condemns civilian deaths_treetagger_output.txt,Health,Lemma,3,0.9375
